"am_sid","sciname","iucn_sid","iucn_category","popn_trend","match"
"Fis-26116","Cephalopholis aurantia",132825,"LC","Unknown",0
"Fis-26116","Cephalopholis aurantia",132725,"DD","Unknown",1
"Fis-35803","Chaetodon lunulatus",165704,"LC","Decreasing",1
"Fis-35803","Chaetodon lunulatus",165651,"LC","Stable",0
"Fis-149134","Cheilinus abudjubbe",154623,"LC","Stable",0
"Fis-149134","Cheilinus abudjubbe",187496,"LC","Unknown",1
"Fis-31472","Coris aygula",187802,"LC","Unknown",1
"Fis-31472","Coris aygula",187392,"VU","Decreasing",0
"Fis-25651","Coris variegata",187802,"LC","Unknown",0
"Fis-25651","Coris variegata",187379,"LC","Unknown",1
"Fis-31618","Epinephelus albomarginatus",44677,"VU","Decreasing",1
"Fis-31618","Epinephelus albomarginatus",132800,"DD","Unknown",0
"Fis-25679","Epinephelus chlorostigma",132774,"LC","Unknown",0
"Fis-25679","Epinephelus chlorostigma",132823,"LC","Stable",1
"Fis-26499","Epinephelus diacanthus",132749,"LC","Unknown",0
"Fis-26499","Epinephelus diacanthus",132777,"NT","Decreasing",1
"Fis-25130","Epinephelus fuscoguttatus",132773,"LC","Unknown",0
"Fis-25130","Epinephelus fuscoguttatus",44673,"NT","Unknown",1
"Fis-25402","Epinephelus goreensis",132817,"LC","Decreasing",0
"Fis-25402","Epinephelus goreensis",132765,"DD","Unknown",1
"Fis-26244","Epinephelus hexagonatus",132778,"LC","Stable",1
"Fis-26244","Epinephelus hexagonatus",132799,"LC","Decreasing",0
"Fis-26245","Epinephelus macrospilos",132766,"LC","Unknown",1
"Fis-26245","Epinephelus macrospilos",132799,"LC","Decreasing",0
"Fis-31150","Epinephelus merra",132799,"LC","Decreasing",0
"Fis-31150","Epinephelus merra",132788,"LC","Stable",1
"Fis-31150","Epinephelus merra",132778,"LC","Stable",0
"Fis-26141","Epinephelus ongus",132804,"LC","Unknown",1
"Fis-26141","Epinephelus ongus",132751,"LC","Unknown",0
"Fis-26510","Epinephelus poecilonotus",132745,"LC","Decreasing",0
"Fis-26510","Epinephelus poecilonotus",132802,"LC","Unknown",1
"Fis-26145","Epinephelus undulosus",132739,"DD","Unknown",1
"Fis-26145","Epinephelus undulosus",132830,"LC","Stable",0
"Fis-126019","Labrus viridis",187381,"LC","Stable",0
"Fis-126019","Labrus viridis",187654,"VU","Decreasing",1
"Fis-25341","Plectropomus leopardus",64412,"VU","Decreasing",0
"Fis-25341","Plectropomus leopardus",44684,"NT","Decreasing",1
"Fis-25365","Plectropomus maculatus",132818,"LC","Decreasing",1
"Fis-25365","Plectropomus maculatus",64412,"VU","Decreasing",0
"Fis-21834","Scarus rivulatus",155025,"LC","Unknown",0
"Fis-21834","Scarus rivulatus",190717,"LC","Unknown",1
"Fis-25736","Thalassoma lutescens",183985,"LC","Stable",0
"Fis-25736","Thalassoma lutescens",187685,"LC","Unknown",1
"Fis-25576","Variola louti",132810,"LC","Decreasing",0
"Fis-25576","Variola louti",132738,"LC","Stable",1
"Fis-145604","Halichoeres bleekeri",187810,"LC","Unknown",0
"Fis-145604","Halichoeres bleekeri",187432,"DD","Unknown",1
"ITS-Mam-180537","Eubalaena glacialis",41711,"EN","Unknown",0
"ITS-Mam-180537","Eubalaena glacialis",41712,"EN","Unknown",1
"ITS-Mam-180478","Neophocaena phocaenoides",41754,"VU","Decreasing",0
"ITS-Mam-180478","Neophocaena phocaenoides",198920,"VU","Decreasing",1
